jahr,Leipzig,Dresden,Duisburg,Nürnberg
1995-12-31,519710,495424,535250,492425
1996-12-31,509836,489593,532701,492864
1997-12-31,501794,483539,529062,489758
1998-12-31,495288,478310,523311,487145
1999-12-31,493872,476668,519793,486628
2000-12-31,493208,477807,514915,488400
2012-31-01,493052,478631,512030,491307
2002-12-31,494795,480228,508664,493397
2003-12-31,497531,483632,506496,493553
2004-12-31,498491,487421,504403,495302
2005-12-31,502651,495181,501564,499237
2006-12-31,506578,504795,499111,500855
2007-12-31,510512,507513,496665,503110
2008-12-31,515469,512234,494048,503638
2009-12-31,518862,517052,491931,503673
2010-12-31,522883,523058,489559,505664
2011-12-31,510043,517765,487470,490085
2012-12-31,520838,525105,486816,495121
2013-12-31,531562,530754,487346,498876
