name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußg-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Zentrum,36,4,9,17,10,5,9,6,.,.,.,0,.,.,.,0,.,3,0,.,0,0,0,6,.,5,.,.,0,7,4,.,.,0,4,11,4,0,0,0,.,.,4,0,.,0,0,3,.,.,3,.,0,3,.,0,0,9,4,0,8,0,.
Zentrum-Ost,13,48,31,5,23,14,20,7,5,0,5,4,0,17,11,11,4,6,0,5,3,0,0,36,7,.,4,0,0,12,8,.,.,4,6,9,.,.,0,0,0,3,4,.,.,4,0,6,9,4,6,0,0,8,.,.,3,10,8,4,5,0,3
Zentrum-Südost,11,36,370,72,29,22,36,9,5,0,3,.,.,33,20,22,6,7,0,.,.,0,.,72,27,4,.,3,.,91,25,28,62,18,17,13,8,5,.,.,4,15,25,0,16,21,0,9,19,4,17,5,0,13,6,0,.,20,10,.,12,.,6
Zentrum-Süd,21,18,74,249,71,41,24,.,5,3,7,.,.,28,18,27,10,9,.,5,5,.,0,48,17,8,3,0,3,230,75,13,12,4,40,31,8,.,5,.,0,3,7,3,5,6,0,16,13,8,10,3,.,8,3,.,4,39,19,6,14,.,5
Zentrum-West,17,15,64,58,235,102,28,18,4,.,.,3,3,32,20,14,8,7,4,6,4,0,.,31,13,.,0,4,.,69,20,7,8,11,44,27,11,8,3,0,4,6,17,3,8,6,4,26,35,.,12,11,3,3,11,.,4,39,24,3,16,0,13
Zentrum-Nordwest,14,12,32,34,134,272,33,12,6,.,12,7,.,18,9,14,9,14,.,5,3,0,.,26,21,.,.,.,.,50,28,4,13,6,32,38,9,4,.,0,3,8,4,4,6,8,0,19,45,3,9,8,.,11,9,0,5,50,27,8,23,5,5
Zentrum-Nord,16,15,26,18,31,43,115,11,4,.,4,6,0,25,16,12,.,8,.,0,3,.,.,26,10,.,5,0,0,30,7,3,8,6,8,12,9,4,0,0,3,3,5,.,7,5,.,14,27,.,14,.,0,24,7,.,3,97,47,12,19,0,8
Schönefeld-Abtnaundorf,.,11,20,10,5,7,12,522,91,53,29,15,.,55,74,19,22,33,11,6,12,.,.,38,14,8,.,.,.,6,7,.,6,7,.,11,8,8,0,.,.,9,11,0,5,4,.,14,18,4,7,5,.,11,8,.,4,29,8,4,33,.,.
Schönefeld-Ost,3,3,10,3,.,.,5,94,168,14,12,17,3,9,24,19,20,42,.,0,3,0,0,14,4,3,.,0,.,6,.,.,.,.,0,.,.,.,0,0,4,.,3,0,4,4,0,3,.,3,6,0,0,9,3,3,0,9,7,4,20,.,4
Mockau-Süd,0,0,.,3,.,.,.,19,4,110,53,14,.,8,5,4,5,7,0,.,.,0,0,5,7,0,0,0,0,7,.,.,.,0,.,3,0,0,0,0,.,.,.,.,7,0,0,.,3,0,4,.,0,12,3,.,0,11,7,4,11,5,.
Mockau-Nord,.,.,5,3,3,.,5,33,20,55,216,33,.,14,7,10,5,23,0,0,5,0,7,9,.,0,.,.,.,7,4,.,7,0,3,6,0,0,0,0,.,3,11,0,4,9,.,8,7,3,13,4,0,9,3,.,3,19,17,14,21,5,7
Thekla,0,.,.,6,0,3,.,27,27,18,51,105,18,4,.,6,3,18,.,.,.,0,0,4,0,.,0,7,.,5,4,.,.,0,4,.,3,0,.,0,0,5,.,0,4,5,.,.,4,.,0,.,0,6,.,0,3,4,11,3,14,13,6
Plaußig-Portitz,0,0,.,0,0,0,.,5,0,4,10,15,20,.,0,.,.,7,0,0,0,0,0,5,.,5,0,0,.,0,0,0,0,0,0,0,.,.,0,0,0,0,.,0,.,0,0,0,0,0,0,0,0,5,0,0,0,3,9,.,.,.,0
Neustadt-Neuschönefeld,16,36,53,18,18,15,23,40,6,11,3,3,.,347,101,42,12,32,4,5,8,0,.,86,23,.,4,3,.,26,15,3,17,19,4,9,11,.,.,0,8,4,11,.,12,9,.,21,33,3,10,7,.,11,.,.,.,15,10,7,12,0,3
Volkmarsdorf,.,6,21,11,11,6,17,46,18,11,15,7,0,156,321,61,30,49,12,.,5,.,.,67,20,3,9,0,0,20,18,.,11,11,4,5,12,.,.,0,4,4,10,.,12,7,0,23,33,4,9,.,0,7,4,.,0,22,13,.,22,0,9
Anger-Crottendorf,0,8,36,10,11,7,7,22,5,4,3,.,0,88,72,352,43,27,7,12,8,3,0,183,47,3,3,.,3,22,12,4,4,5,3,15,9,.,0,0,5,4,3,.,5,5,.,5,14,.,13,5,0,8,.,0,.,17,16,4,10,6,4
Sellerhausen-Stünz,0,4,4,6,4,7,3,16,16,5,9,.,0,31,42,41,186,84,11,.,13,0,.,26,16,.,3,.,5,10,5,0,3,3,.,12,4,.,0,0,0,.,.,.,5,5,0,.,10,.,5,3,0,3,.,.,.,7,8,.,10,.,.
Paunsdorf,.,4,18,7,3,7,.,24,36,11,15,0,0,31,40,35,87,538,75,6,45,.,8,20,9,.,6,11,9,10,5,3,.,.,3,12,.,5,.,0,5,7,6,.,11,6,0,5,8,.,15,.,7,9,4,3,5,11,16,3,14,6,3
Heiterblick,0,0,4,0,0,0,0,3,.,3,3,0,.,9,3,5,19,80,64,3,14,0,.,7,4,.,.,0,0,.,.,0,.,0,.,8,0,.,0,0,0,.,.,0,.,.,0,0,0,0,.,0,.,0,0,0,.,0,.,0,.,.,0
Mölkau,.,3,7,5,5,3,3,4,6,.,.,.,0,5,8,10,17,12,10,67,18,4,.,14,27,3,0,0,13,7,8,3,7,3,6,.,.,.,0,0,.,.,0,0,0,0,.,0,.,0,0,.,.,.,0,0,0,0,.,0,.,.,0
Engelsdorf,.,.,3,.,.,.,.,15,15,3,7,.,0,7,7,16,7,47,9,13,275,10,16,12,10,.,3,5,14,15,6,3,3,3,.,4,0,.,.,0,0,5,3,.,7,.,0,.,5,0,6,0,.,3,.,0,5,18,10,0,.,0,.
Baalsdorf,0,0,0,4,.,3,0,3,0,0,.,0,0,.,.,5,0,4,0,.,7,12,.,4,10,4,0,.,3,4,0,0,0,.,.,.,0,0,0,0,0,0,.,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Althen-Kleinpösna,0,0,.,0,.,0,3,3,0,0,0,0,0,4,.,0,4,8,.,.,14,0,19,3,8,.,0,.,5,.,0,.,.,0,.,8,.,0,.,0,0,0,0,0,3,0,0,.,.,0,0,.,0,.,0,0,.,.,.,.,.,0,3
Reudnitz-Thonberg,15,30,96,49,27,27,27,43,26,3,5,.,.,108,99,151,32,41,9,17,6,3,0,667,153,18,15,5,16,109,48,15,15,12,16,21,8,5,5,0,9,5,7,5,14,7,0,14,46,.,19,6,0,29,3,.,5,43,15,10,28,6,9
Stötteritz,7,10,36,10,11,10,6,23,9,5,13,3,0,37,30,54,18,17,4,25,8,4,5,122,562,37,12,20,19,51,17,9,18,10,16,19,7,4,.,0,.,8,10,0,8,5,0,4,20,6,7,.,.,8,4,.,3,25,15,4,5,.,5
Probstheida,0,14,6,9,.,18,0,5,0,0,0,0,.,4,3,3,.,7,.,.,0,.,0,16,34,97,28,16,17,16,10,10,20,4,7,9,3,6,.,0,.,.,5,0,6,.,0,4,5,.,4,.,.,.,0,0,.,11,8,6,5,3,4
Meusdorf,0,.,4,0,3,.,3,3,0,0,4,0,.,.,3,4,5,5,0,.,0,0,0,8,19,18,27,3,4,10,3,.,13,6,.,0,.,0,0,0,.,.,4,0,4,3,0,.,.,.,.,.,0,0,3,0,.,.,0,.,.,0,0
Liebertwolkwitz,0,.,4,.,3,0,.,.,0,0,0,6,0,.,7,.,3,3,3,3,6,0,5,10,9,20,10,180,5,4,6,4,0,4,.,.,.,0,.,0,0,0,4,0,4,0,0,3,3,0,.,.,0,.,0,.,0,3,0,.,0,.,.
Holzhausen,0,0,8,6,3,3,.,3,.,0,6,0,.,.,0,10,3,5,.,8,3,0,6,14,47,22,6,5,107,6,6,.,0,.,4,7,.,.,.,0,0,0,5,0,.,0,.,.,.,0,3,3,0,0,.,0,4,10,6,0,.,0,0
Südvorstadt,14,19,107,212,61,65,48,10,14,.,7,5,.,53,20,38,14,15,5,8,13,.,3,120,50,8,4,5,11,998,274,22,56,19,94,63,26,3,5,0,8,8,12,6,13,.,.,34,37,6,13,8,.,13,8,.,.,47,36,5,20,0,9
Connewitz,.,13,43,86,34,31,12,12,4,3,9,.,0,33,18,22,8,13,3,.,.,0,.,49,37,6,4,.,.,403,815,30,63,25,41,37,18,12,6,0,.,4,9,3,10,13,.,17,19,5,10,10,.,12,6,.,3,22,14,8,17,.,3
Marienbrunn,.,.,18,14,.,7,8,3,.,4,7,.,0,.,3,0,4,5,0,0,0,.,0,10,21,7,0,4,.,41,46,121,84,19,0,5,10,3,0,0,0,.,9,4,6,.,0,0,6,.,0,0,0,3,.,0,0,5,0,3,5,4,0
Lößnig,0,.,31,10,4,4,5,8,4,3,.,.,4,6,9,10,3,16,3,.,.,0,0,21,15,28,7,3,7,54,93,54,397,57,7,8,6,.,0,0,.,14,13,0,11,3,0,4,9,3,3,.,.,3,.,0,3,8,5,3,3,0,.
Dölitz-Dösen,.,0,4,8,10,3,3,.,3,.,0,.,0,5,5,4,4,5,0,.,.,.,.,7,4,5,6,.,.,17,46,8,49,69,6,.,3,6,.,0,.,3,3,0,11,.,0,3,4,0,3,5,0,.,.,4,0,6,4,.,3,0,0
Schleußig,9,10,40,39,52,63,15,8,3,0,4,.,.,33,12,16,7,5,0,.,10,0,0,37,20,.,4,.,3,113,75,6,7,6,464,121,24,10,.,.,3,10,10,9,13,6,.,37,39,.,7,8,3,5,.,.,0,32,7,0,5,7,5
Plagwitz,0,8,22,32,47,30,20,15,6,8,.,.,.,21,11,19,9,15,.,4,6,0,.,42,14,.,5,.,.,84,28,5,11,7,219,380,124,28,18,.,15,15,32,6,31,16,3,97,71,34,20,8,3,19,9,0,4,20,36,7,21,0,5
Kleinzschocher,0,.,7,5,6,13,9,9,4,.,3,0,.,17,17,9,.,12,0,.,.,0,0,18,13,6,0,.,.,31,18,3,.,5,63,116,287,50,14,.,19,20,49,19,39,20,.,37,66,12,17,11,.,5,.,0,4,7,12,0,9,0,.
Großzschocher,0,4,.,.,6,.,.,9,.,.,0,.,.,4,6,4,3,13,0,.,0,0,0,6,12,4,.,.,0,30,6,0,.,3,22,54,74,260,38,8,9,11,20,.,15,17,.,10,12,9,7,5,.,6,0,.,0,11,.,.,5,0,0
Knautkleeberg-Knauthain,0,.,.,.,.,5,6,0,0,0,0,0,0,.,.,0,0,0,0,0,0,0,0,.,.,0,0,.,0,7,10,0,0,.,18,19,13,22,77,11,0,0,.,0,.,4,.,7,4,5,0,7,0,.,0,0,.,0,.,0,.,0,0
Hartmannsdorf-Knautnaundorf,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,.,0,0,.,5,0,0,.,.,.,4,5,4,8,0,0,.,0,3,0,0,0,0,.,0,0,0,0,0,0,0,.,.,0,0,0,0
Schönau,0,0,.,0,5,.,0,.,0,3,.,.,0,3,4,.,.,6,0,0,.,0,0,4,4,0,.,3,0,4,0,.,.,0,3,10,18,4,.,0,66,24,42,4,33,43,5,20,18,10,9,.,3,.,0,0,0,.,3,6,10,0,0
Grünau-Ost,0,.,4,7,4,0,.,3,.,0,.,0,0,5,.,.,.,5,.,.,0,0,0,.,.,0,3,0,0,4,0,0,.,0,9,5,20,9,0,0,18,107,51,8,28,19,.,4,23,14,7,11,3,.,.,0,0,7,0,3,0,0,4
Grünau-Mitte,0,.,23,.,.,.,7,12,.,9,3,.,3,5,6,.,7,3,0,.,4,0,3,26,5,3,5,3,.,10,6,4,7,9,3,27,55,13,.,0,35,40,356,20,87,58,3,13,47,25,18,6,0,7,.,.,3,7,9,4,5,0,.
Grünau-Siedlung,.,0,6,0,.,0,.,0,0,.,0,0,0,.,.,0,.,0,0,.,.,0,0,.,0,0,0,0,0,8,5,0,0,0,0,7,12,6,.,0,7,13,33,22,21,9,.,8,4,7,3,.,3,.,.,0,0,.,0,0,0,0,.
Lausen-Grünau,.,.,4,4,.,5,0,8,4,.,6,8,0,4,12,6,4,9,0,.,.,0,.,8,12,.,5,.,.,15,.,0,6,.,10,37,38,12,6,0,19,28,48,10,460,53,5,18,37,16,19,16,9,4,0,0,4,10,13,10,6,0,.
Grünau-Nord,0,0,8,.,7,.,.,0,.,.,3,0,0,4,6,5,4,8,.,.,.,.,0,8,6,.,0,0,.,3,0,.,5,3,3,27,13,8,0,0,30,23,52,6,82,309,18,19,32,14,12,8,11,7,4,0,0,7,3,7,5,0,.
Miltitz,0,0,0,0,0,0,.,0,0,0,0,0,0,.,.,.,0,.,.,.,0,0,0,3,0,.,0,0,.,.,.,0,0,0,.,3,.,.,.,0,.,.,7,.,9,20,21,0,.,6,.,.,.,.,.,0,.,.,0,0,0,0,3
Lindenau,4,4,16,12,23,16,9,7,6,.,9,.,.,13,9,16,7,10,3,.,.,0,0,27,11,.,.,.,.,26,17,.,3,.,39,83,25,13,.,0,4,8,16,3,10,19,0,219,129,39,21,8,10,13,3,.,.,17,12,0,7,0,.
Altlindenau,3,12,18,18,34,17,31,25,6,5,3,5,0,22,24,19,4,10,4,3,3,0,.,28,21,.,5,.,.,39,20,3,10,5,44,77,36,14,4,.,25,9,49,9,40,28,6,145,617,38,135,31,7,17,14,0,3,34,33,5,21,3,.
