name,Zentrum,Zentrum-Ost,Zentrum-Südost,Zentrum-Süd,Zentrum-West,Zentrum-Nordwest,Zentrum-Nord,Schönefeld-Abtnaundorf,Schönefeld-Ost,Mockau-Süd,Mockau-Nord,Thekla,Plaußig-Portitz,Neustadt-Neuschönefeld,Volkmarsdorf,Anger-Crottendorf,Sellerhausen-Stünz,Paunsdorf,Heiterblick,Mölkau,Engelsdorf,Baalsdorf,Althen-Kleinpösna,Reudnitz-Thonberg,Stötteritz,Probstheida,Meusdorf,Liebertwolkwitz,Holzhausen,Südvorstadt,Connewitz,Marienbrunn,Lößnig,Dölitz-Dösen,Schleußig,Plagwitz,Kleinzschocher,Großzschocher,Knautkleeberg-Knauthain,Hartmannsdorf-Knautnaundorf,Schönau,Grünau-Ost,Grünau-Mitte,Grünau-Siedlung,Lausen-Grünau,Grünau-Nord,Miltitz,Lindenau,Altlindenau,Neulindenau,Leutzsch,Böhlitz-Ehrenberg,Burghausen-Rückmarsdorf,Möckern,Wahren,Lützschena-Stahmeln,Lindenthal,Gohlis-Süd,Gohlis-Mitte,Gohlis-Nord,Eutritzsch,Seehausen,Wiederitzsch
Zentrum,33,7,17,15,15,11,14,0,.,0,3,0,0,3,.,.,0,.,0,0,.,0,.,6,3,.,0,.,.,8,.,4,3,0,6,3,0,.,.,0,.,0,.,0,0,3,0,7,.,0,7,.,0,3,.,.,.,6,4,.,3,0,.
Zentrum-Ost,11,40,27,24,18,10,9,9,5,0,5,0,.,20,9,9,7,5,.,.,6,.,0,39,10,.,0,.,5,23,9,3,3,4,6,9,.,.,.,0,.,3,.,.,5,.,0,7,8,.,8,.,0,7,.,.,.,11,13,.,6,.,.
Zentrum-Südost,17,18,401,62,49,25,28,9,4,3,6,5,0,40,23,28,6,16,.,6,.,.,.,78,16,5,0,9,.,76,27,29,45,9,17,17,7,4,.,0,3,22,21,.,14,10,0,13,19,9,6,6,.,14,.,.,0,18,12,8,14,.,8
Zentrum-Süd,17,14,63,227,79,30,26,17,8,.,.,.,.,19,15,12,10,11,.,4,.,.,.,58,25,8,.,.,.,229,75,7,19,12,26,37,4,0,3,0,.,5,7,4,9,3,0,13,26,.,4,5,0,5,3,.,.,35,10,.,16,3,4
Zentrum-West,17,19,58,65,209,98,35,17,0,.,4,.,0,20,19,18,5,7,4,.,.,.,.,32,17,4,3,.,4,64,24,.,15,5,43,40,28,3,.,0,6,4,11,.,12,5,0,14,27,7,14,8,4,10,4,.,4,36,29,0,12,.,3
Zentrum-Nordwest,16,16,33,42,104,321,39,19,5,3,4,5,.,27,7,15,.,9,4,.,.,4,.,46,17,9,.,3,.,54,26,.,5,5,29,34,7,4,3,.,0,.,9,3,4,4,4,16,24,5,21,12,5,8,5,.,4,60,26,9,9,0,3
Zentrum-Nord,17,12,13,23,33,35,128,13,5,.,3,.,.,20,17,13,5,8,4,8,.,.,0,41,23,3,5,3,0,25,19,.,8,3,27,11,10,.,.,0,.,3,9,3,8,3,.,5,20,8,8,7,0,13,7,.,.,66,27,12,35,4,9
Schönefeld-Abtnaundorf,.,3,22,8,7,7,9,524,117,35,36,20,.,84,76,33,37,62,9,3,10,0,.,46,22,6,.,.,.,14,9,8,6,.,.,12,6,4,.,0,5,0,6,0,7,4,0,19,22,3,20,6,.,17,.,0,8,33,20,7,31,3,10
Schönefeld-Ost,0,5,4,5,7,.,3,117,140,4,.,18,.,13,24,10,15,26,10,0,4,0,0,13,.,.,.,3,.,7,5,0,6,0,.,.,.,.,0,0,.,8,3,.,.,.,0,0,11,0,0,.,0,6,.,0,.,6,6,3,19,.,5
Mockau-Süd,0,0,.,.,0,.,8,28,.,95,65,12,4,15,6,3,.,9,.,0,5,0,0,12,4,.,0,0,0,3,.,3,3,0,.,6,4,.,0,0,0,.,.,.,.,.,0,0,3,4,.,.,0,11,.,0,.,11,5,3,18,.,5
Mockau-Nord,0,7,6,5,5,6,6,32,14,108,177,25,9,10,11,4,5,17,3,0,4,.,.,17,8,3,3,.,0,8,.,4,.,.,.,9,0,0,0,0,.,5,4,5,4,3,0,0,3,.,.,6,.,15,5,.,.,22,21,17,27,6,11
Thekla,0,0,4,0,.,4,.,22,20,18,30,110,20,7,9,12,7,6,.,.,4,0,0,11,3,.,0,.,.,5,.,.,.,0,.,0,.,.,0,0,0,4,.,.,4,3,.,.,4,.,4,.,0,13,.,0,4,4,6,4,7,8,.
Plaußig-Portitz,0,0,0,.,0,0,4,5,3,0,8,5,17,0,0,.,0,7,.,0,0,0,5,0,.,0,0,0,0,4,5,0,0,0,4,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,5,.,7,10,0
Neustadt-Neuschönefeld,8,27,59,15,30,20,24,37,15,6,9,3,.,322,163,49,18,23,.,7,6,.,.,136,31,3,.,.,.,33,19,6,15,.,10,18,8,.,0,.,5,20,12,.,9,4,0,16,30,7,10,17,0,17,.,0,3,20,15,7,17,.,5
Volkmarsdorf,4,6,18,11,13,3,15,28,31,7,15,5,.,167,326,91,47,31,5,.,.,0,.,54,26,4,6,.,.,17,10,3,8,3,5,11,9,.,.,0,4,6,10,0,18,4,0,9,17,.,6,10,0,9,3,.,.,11,12,7,11,.,8
Anger-Crottendorf,0,8,21,15,12,.,16,16,4,4,12,0,0,71,85,316,31,25,.,7,13,4,4,191,52,7,3,8,3,23,20,0,8,6,10,13,7,3,0,0,.,.,5,0,7,.,0,8,25,.,.,.,0,11,.,.,.,12,9,3,15,.,4
Sellerhausen-Stünz,0,.,9,6,7,0,4,16,18,4,10,.,4,32,57,27,165,88,13,5,26,.,.,24,13,0,.,0,0,9,4,.,5,0,.,8,.,5,0,0,.,.,.,.,6,5,0,3,7,5,4,.,0,10,.,.,0,3,15,6,12,.,.
Paunsdorf,0,4,5,3,11,.,7,30,14,11,16,3,5,27,69,18,64,476,54,8,37,3,6,39,20,.,7,10,3,8,6,3,11,0,9,10,5,5,4,0,5,7,14,0,6,.,0,13,14,4,7,3,0,9,.,0,.,16,22,9,5,.,5
Heiterblick,0,0,0,0,4,4,0,6,9,0,4,0,0,.,6,4,13,39,40,3,11,0,4,.,4,0,.,0,0,.,.,0,0,0,0,0,.,0,0,0,0,0,3,0,.,0,0,0,4,0,0,0,0,5,.,.,4,3,5,4,.,3,3
Mölkau,0,0,0,3,4,8,.,3,0,0,3,0,0,0,6,12,16,4,.,56,4,7,0,21,21,.,0,0,13,6,.,0,5,0,.,0,3,0,0,0,0,0,.,0,3,0,0,0,.,0,5,.,.,.,7,.,.,4,.,0,0,0,0
Engelsdorf,.,4,.,3,3,0,3,17,9,.,6,8,3,12,8,19,8,49,10,18,209,7,23,19,10,8,.,.,10,19,5,3,.,0,3,5,.,.,3,0,0,5,3,0,12,.,.,5,.,.,.,6,.,3,.,0,0,.,3,0,.,0,.
Baalsdorf,0,.,.,0,0,0,0,.,0,3,0,0,0,4,0,13,0,3,.,4,21,13,.,.,7,.,0,0,4,0,.,0,4,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.,0,0,0,0,0,0,0,0,0,0,0,0
Althen-Kleinpösna,0,0,.,.,0,.,0,6,.,0,0,0,0,.,7,.,3,7,.,4,16,0,12,6,8,.,4,3,9,3,.,0,.,0,0,.,4,0,0,0,.,0,.,0,.,.,.,0,4,.,.,0,0,.,0,0,0,0,.,0,3,0,4
Reudnitz-Thonberg,9,35,143,38,35,23,27,35,19,5,14,8,4,112,70,120,21,40,11,15,17,.,5,677,141,20,14,3,18,67,45,11,34,11,15,28,12,7,3,0,0,3,11,4,13,5,12,16,50,4,14,6,5,28,5,0,.,50,25,10,25,0,9
Stötteritz,6,14,44,17,14,17,13,14,11,.,9,3,.,28,30,49,15,37,3,25,5,.,.,155,632,36,13,13,19,52,33,9,16,19,10,33,10,.,4,0,.,5,6,.,13,9,0,14,19,3,8,3,.,12,7,6,11,21,20,5,9,.,0
Probstheida,0,.,8,7,5,.,.,.,.,.,3,.,0,.,.,9,3,6,7,4,.,0,7,15,39,107,30,13,15,11,13,4,11,7,0,6,.,3,0,.,.,.,4,3,.,3,0,3,4,3,.,.,0,12,.,.,.,.,9,0,4,0,.
Meusdorf,0,.,0,0,0,0,0,.,.,0,.,.,0,3,6,.,3,3,0,.,3,0,0,15,19,17,24,4,10,12,11,6,8,.,.,6,0,0,0,0,3,.,.,0,6,4,.,.,7,.,4,.,0,3,.,0,0,7,.,.,0,0,0
Liebertwolkwitz,0,0,3,0,3,0,0,.,.,0,0,0,0,4,.,7,.,8,.,.,5,.,4,8,17,12,14,170,13,6,4,.,.,3,.,.,3,0,.,0,0,.,.,0,0,.,.,3,.,0,5,3,0,.,0,0,0,0,7,.,.,.,0
Holzhausen,0,3,.,10,4,5,0,.,.,0,.,.,.,.,.,5,0,3,0,11,.,4,.,9,30,19,5,17,100,11,.,.,7,.,4,4,0,.,0,0,.,.,.,0,3,0,.,.,.,0,.,.,0,0,.,0,0,6,10,0,7,4,3
Südvorstadt,11,18,129,263,71,66,36,15,15,.,10,.,.,62,21,41,4,9,.,6,5,.,.,119,47,18,7,.,12,985,314,11,29,20,91,70,18,12,7,.,7,7,16,3,7,5,.,25,40,7,5,7,4,11,3,3,4,44,47,8,21,6,5
Connewitz,4,13,29,67,26,36,16,12,6,0,5,.,.,18,20,27,10,8,.,5,6,0,5,53,33,12,.,7,7,416,871,28,65,32,52,46,25,8,5,.,3,3,14,.,3,6,0,22,15,3,10,7,.,9,3,4,.,26,28,3,3,.,4
Marienbrunn,0,.,5,.,4,.,3,.,0,0,.,.,0,0,.,.,.,9,0,.,0,0,0,5,25,4,4,0,.,36,41,117,34,8,.,6,.,0,0,0,0,.,4,.,0,.,0,.,0,0,.,0,0,0,0,0,.,.,3,.,7,.,.
Lößnig,7,3,17,30,6,6,12,5,.,.,3,.,0,10,8,8,.,11,0,5,5,5,.,20,28,16,10,.,.,92,105,55,403,68,6,18,3,.,0,0,.,19,14,.,5,5,.,4,11,6,3,.,0,5,8,0,.,3,7,0,4,0,.
Dölitz-Dösen,0,.,6,16,0,.,5,9,.,0,.,0,0,4,0,12,.,.,3,6,3,0,0,12,16,7,12,.,0,35,62,12,28,91,10,12,6,3,.,0,.,0,3,0,.,.,3,0,6,.,6,0,0,5,.,.,.,8,5,0,5,0,.
Schleußig,3,7,27,40,49,63,15,8,6,.,3,.,0,24,5,16,6,3,.,.,.,0,.,55,22,.,0,0,.,114,58,5,4,9,431,169,41,17,10,0,10,8,4,3,12,5,.,26,42,11,13,9,.,10,4,0,4,27,13,0,8,.,5
Plagwitz,3,13,27,38,31,26,22,11,4,7,13,.,.,26,29,19,4,6,4,0,.,3,0,41,24,.,5,7,.,67,39,6,8,6,163,377,97,27,9,4,3,17,22,11,21,26,.,73,91,34,20,10,7,9,5,3,3,35,20,9,22,4,4
Kleinzschocher,.,3,3,4,11,.,4,9,.,.,4,.,0,7,9,6,.,5,.,.,3,0,0,12,10,0,.,.,.,41,12,.,3,11,51,122,339,49,12,3,16,23,42,15,34,20,3,36,71,12,17,6,5,9,6,.,.,16,3,.,11,.,.
