country,continent
Zentrum,Mitte
Zentrum-Ost,Mitte
Zentrum-Südost,Mitte
Zentrum-Süd,Mitte
Zentrum-West,Mitte
Zentrum-Nordwest,Mitte
Zentrum-Nord,Mitte
Schönefeld-Abtnaundorf,Nordost
Schönefeld-Ost,Nordost
Mockau-Süd,Nordost
Mockau-Nord,Nordost
Thekla,Nordost
Plaußig-Portitz,Nordost
Neustadt-Neuschönefeld,Ost
Volkmarsdorf,Ost
Anger-Crottendorf,Ost
Sellerhausen-Stünz,Ost
Paunsdorf,Ost
Heiterblick,Ost
Mölkau,Ost
Engelsdorf,Ost
Baalsdorf,Ost
Althen-Kleinpösna,Ost
Reudnitz-Thonberg,Südost
Stötteritz,Südost
Probstheida,Südost
Meusdorf,Südost
Liebertwolkwitz,Südost
Holzhausen,Südost
Südvorstadt,Süd
Connewitz,Süd
Marienbrunn,Süd
Lößnig,Süd
Dölitz-Dösen,Süd
Schleußig,Südwest
Plagwitz,Südwest
Kleinzschocher,Südwest
Großzschocher,Südwest
Knautkleeberg-Knauthain,Südwest
Hartmannsdorf-Knautnaundorf,Südwest
Schönau,West
Grünau-Ost,West
Grünau-Mitte,West
Grünau-Siedlung,West
Lausen-Grünau,West
Grünau-Nord,West
Miltitz,West
Lindenau,Alt-West
Altlindenau,Alt-West
Neulindenau,Alt-West
Leutzsch,Alt-West
Böhlitz-Ehrenberg,Alt-West
Burghausen-Rückmarsdorf,Alt-West
Möckern,Nordwest
Wahren,Nordwest
Lützschena-Stahmeln,Nordwest
Lindenthal,Nordwest
Gohlis-Süd,Nord
Gohlis-Mitte,Nord
Gohlis-Nord,Nord
Eutritzsch,Nord
Seehausen,Nord
Wiederitzsch,Nord
